bout_id,fighter_id,round,fighter,td_s,td_s_pr_di,td_s_p15m,td_s_p15m_di,td_a,td_a_pr_di,td_a_p15m,td_a_p15m_di,sba,sba_pr_di,sba_p15m,sba_p15m_di,rev,rev_pr_di,rev_p15m,rev_p15m_di,ps,ps_pr_di,ps_p15m,ps_p15m_di
9c3fb95a1558b38d,c5af5750e8bae4f0,3,Kyle Bochniak,0,0,0.0,0.0,6,6,18.0,18.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c4cbd0546d03f6b,f2688492b9a525a3,1,Frankie Edgar,1,1,3.0,3.0,6,6,18.0,18.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c4cbd0546d03f6b,f2688492b9a525a3,2,Frankie Edgar,2,2,6.0,6.0,5,5,15.0,15.0,2,2,6.0,6.0,1,1,3.0,3.0,3,3,9.0,9.0
9c4cbd0546d03f6b,f2688492b9a525a3,3,Frankie Edgar,2,2,6.0,6.0,3,3,9.0,9.0,0,-1,0.0,-3.0,0,0,0.0,0.0,2,2,6.0,6.0
9c7830c91fad60d8,d71d968dc6ecfdaf,2,Katsuhisa Fujii,0,0,0.0,0.0,1,1,3.5294117647058822,3.5294117647058822,0,-1,0.0,-3.5294117647058822,0,0,0.0,0.0,0,0,0.0,0.0
9c7830c91fad60d8,d71d968dc6ecfdaf,1,Katsuhisa Fujii,2,2,6.0,6.0,2,2,6.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9c79433a4686f3fc,e9a3aeb207578eea,1,Preux Ilir Latifi,0,0,0.0,0.0,0,0,0.0,0.0,1,1,3.9473684210526323,3.9473684210526323,0,0,0.0,0.0,0,0,0.0,0.0
9c7a67ce1d6a01f9,75e5fec9f72910ef,3,Gleison Tibau,2,2,6.0,6.0,3,3,9.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,3.0,3.0
9c7a67ce1d6a01f9,75e5fec9f72910ef,2,Gleison Tibau,2,2,6.0,6.0,3,3,9.0,9.0,2,2,6.0,6.0,0,0,0.0,0.0,5,5,15.0,15.0
9c7a67ce1d6a01f9,75e5fec9f72910ef,1,Gleison Tibau,1,1,3.0,3.0,7,7,21.0,21.0,1,1,3.0,3.0,0,0,0.0,0.0,3,3,9.0,9.0
9c7b6a20f35fb708,9d19d9e4aa2662e8,1,Nicolas Dalby,0,0,0.0,0.0,2,2,6.0,6.0,0,0,0.0,0.0,1,1,3.0,3.0,1,1,3.0,3.0
9c7b6a20f35fb708,9d19d9e4aa2662e8,2,Nicolas Dalby,1,0,3.0,0.0,1,0,3.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,3.0,3.0
9c7b6a20f35fb708,9d19d9e4aa2662e8,3,Nicolas Dalby,0,-2,0.0,-6.0,1,-2,3.0,-6.0,0,0,0.0,0.0,0,0,0.0,0.0,2,1,6.0,3.0
